"","RAB.mean","GAD.mean","GAD.Total.Adj","CRA.mean","FOC.mean","IUS.mean","MAAS.mean","RiskPerception","FinancialSatisfaction","age","sex","edu","Country"
"51",3,1.71428571428571,5,2.33333333333333,3.66666666666667,2.66666666666667,4.4,50,60,62,1,3,"Turkey"
"52",3.83333333333333,2,7,3,3.33333333333333,3,3.4,84,68,48,1,3,"Turkey"
"53",3.5,2.14285714285714,8,3.16666666666667,3.66666666666667,4,2.6,60,90,23,1,1,"Turkey"
"54",3.33333333333333,1.42857142857143,3,1.83333333333333,4.16666666666667,2.66666666666667,3.2,70,75,27,2,3,"Turkey"
"55",3.16666666666667,2,7,3,3.83333333333333,3.33333333333333,3.4,50,0,25,1,3,"Turkey"
"56",3.83333333333333,2.42857142857143,10,3.33333333333333,4,4,4.2,15,70,28,1,2,"Turkey"
"57",3.33333333333333,3.71428571428571,19,4,3.5,4,2.6,65,0,23,1,3,"Turkey"
"58",3.83333333333333,2.71428571428571,12,3,2.33333333333333,3,3.4,50,50,25,1,2,"Turkey"
"59",3.83333333333333,3.28571428571429,16,3.16666666666667,2.66666666666667,4,2.6,60,85,24,1,3,"Turkey"
"60",4,2,7,3,4,3.33333333333333,4,50,60,21,1,1,"Turkey"
"61",4,1.85714285714286,6,3.33333333333333,2.83333333333333,4,3.8,50,40,21,1,3,"Turkey"
"62",3.33333333333333,1.71428571428571,5,3.33333333333333,3.5,2.66666666666667,3.4,6,50,20,1,1,"Turkey"
"63",3.66666666666667,2.42857142857143,10,3.83333333333333,3.83333333333333,3.33333333333333,4.2,50,60,25,1,3,"Turkey"
"64",4,1.57142857142857,4,2.83333333333333,3.16666666666667,3,3.6,46,38,48,1,3,"Turkey"
"65",2.66666666666667,1.42857142857143,3,3.33333333333333,3.66666666666667,3.33333333333333,2.6,50,40,23,1,1,"Turkey"
"66",3.83333333333333,2.57142857142857,11,2.66666666666667,3.83333333333333,3.66666666666667,3.4,25,70,21,1,1,"Turkey"
"67",3.83333333333333,2.42857142857143,10,3.5,3,3.33333333333333,2.8,80,25,29,1,3,"Turkey"
"68",3.16666666666667,1.57142857142857,4,2.83333333333333,4.83333333333333,3,4.4,50,60,51,1,2,"Turkey"
"69",3,2.42857142857143,10,3.66666666666667,2.66666666666667,3.66666666666667,2.6,49,0,24,1,1,"Turkey"
"70",3.66666666666667,1,0,2.16666666666667,3.16666666666667,2.66666666666667,4,51,75,31,1,2,"Turkey"
"71",3.5,1.28571428571429,2,2.66666666666667,3.66666666666667,2.66666666666667,3.4,50,80,29,1,3,"Turkey"
"72",3.66666666666667,1.71428571428571,5,2.33333333333333,3.33333333333333,4,3.2,40,44,27,1,3,"Turkey"
"73",3.83333333333333,1.14285714285714,1,3,3.33333333333333,4,3.8,50,70,49,1,3,"Turkey"
"74",4,1.57142857142857,4,1,2.33333333333333,3.66666666666667,4.4,50,70,20,2,3,"Turkey"
"75",3.16666666666667,3.71428571428571,19,3.66666666666667,3,4.66666666666667,1.8,60,80,25,3,3,"Turkey"
"76",3,2.71428571428571,12,3.16666666666667,3.83333333333333,3,5.2,49,51,28,1,2,"Turkey"
"77",3.66666666666667,3.14285714285714,15,3.83333333333333,3,2.33333333333333,2.6,50,0,24,1,3,"Turkey"
"78",3,1.28571428571429,2,3.33333333333333,3.66666666666667,2,4.4,70,50,24,1,3,"Turkey"
"79",2.33333333333333,2.28571428571429,9,2.5,4.66666666666667,4,4.4,70,70,28,1,2,"Turkey"
"80",2.83333333333333,1.85714285714286,6,3,3,3,4,80,70,30,1,2,"Turkey"
"81",2.33333333333333,2.28571428571429,9,3.33333333333333,4,3.33333333333333,3.6,81,12,25,1,3,"Turkey"
"82",4,2.57142857142857,11,2.16666666666667,4,4.33333333333333,4.4,60,75,37,1,2,"Turkey"
"83",3.66666666666667,2,7,2.83333333333333,3,4,2.8,1,50,52,1,3,"Turkey"
"84",3.16666666666667,2.14285714285714,8,3.16666666666667,3.33333333333333,4,2.6,95,60,27,1,3,"Turkey"
"85",1.66666666666667,1.28571428571429,2,1.83333333333333,2.83333333333333,3,4.4,19,97,43,2,3,"Turkey"
"86",3.5,1.28571428571429,2,2,3,2,4.4,85,60,65,2,3,"Turkey"
"87",3.83333333333333,1.14285714285714,1,1.83333333333333,4.5,2.33333333333333,3.6,10,88,46,1,3,"Turkey"
"88",2.33333333333333,1.85714285714286,6,1.66666666666667,3.66666666666667,4.33333333333333,2.6,49,40,26,1,3,"Turkey"
"89",3,1.85714285714286,6,2.33333333333333,4.16666666666667,2.66666666666667,4,11,20,29,2,3,"Turkey"
"90",3.83333333333333,3.28571428571429,16,3.33333333333333,4.16666666666667,4.66666666666667,2.6,50,51,31,1,2,"Turkey"
"91",3.66666666666667,1,0,3.33333333333333,3.83333333333333,2,4.8,10,51,52,2,1,"Turkey"
"92",3.83333333333333,1.57142857142857,4,2.66666666666667,4,3,2.6,0,36,72,2,1,"Turkey"
"93",3.5,1.85714285714286,6,3,4,3.33333333333333,2.4,55,60,65,2,3,"Turkey"
"94",4,1.28571428571429,2,2.16666666666667,3.66666666666667,4.33333333333333,3.8,26,81,69,2,1,"Turkey"
"95",3.66666666666667,1.85714285714286,6,2.66666666666667,2,3,3.4,46,6,22,1,1,"Turkey"
